anio,IPM,Gini,IPC,F_norm,Fz
2012.0,23.9,0.489,882841.0,0.29864584735683947,0.00736657493389025
2013.0,21.0,0.492,974776.0,0.09728233965281213,-0.6779691659535759
2014.0,20.6,0.492,1029524.0,0.06948719654605062,-0.7725692511991339
2015.0,21.1,0.486,1020722.0,0.10416913117730174,-0.6545301405532491
2016.0,21.3,0.485,1089471.0,0.11801959015337267,-0.6073904444274293
2017.0,23.4,0.483,1078551.0,0.26380388855387366,-0.11121717404061945
2018.0,21.1,0.487,1164577.0,0.10411857944290527,-0.6547021921366803
2019.0,21.4,0.494,1239342.0,0.12496173064907871,-0.5837630401662627
2020.0,34.0,0.533,1049661.0,1.0,2.3944081660681715
2021.0,30.7,0.565,1470160.0,0.7709549621913451,1.6148590189907504
2022.0,28.1,0.549,1653295.0,0.5903251569376395,1.0000899239277967
2023.0,24.1,0.532,1930626.0,0.3124900384341148,0.05448493842047562
2024.0,19.6,0.523,2191517.0,0.0,-1.0090672138641343
