anio,IPM,CantPM,Poblacion,Gini,IPC,F,F_check,F_error_abs
2012.0,23.9,1713.0,7175.0,0.489,882841.0,0.4889998332165002,0.4889998332165002,0.0
2013.0,21.0,1511.0,7207.0,0.492,974776.0,0.49199988558481356,0.49199988558481356,0.0
2014.0,20.6,1490.0,7231.0,0.492,1029524.0,0.4919999120727351,0.4919999120727351,0.0
2015.0,21.1,1527.0,7251.0,0.486,1020722.0,0.4859999038316276,0.4859999038316276,0.0
2016.0,21.3,1547.0,7278.0,0.485,1089471.0,0.4849999336384677,0.4849999336384677,0.0
2017.0,23.4,1708.0,7314.0,0.483,1078551.0,0.48299992931363145,0.48299992931363145,0.0
2018.0,21.1,1559.0,7394.0,0.487,1164577.0,0.4869999640898812,0.4869999640898812,0.0
2019.0,21.4,1618.0,7564.0,0.494,1239342.0,0.4939999951086944,0.4939999951086944,0.0
2020.0,34.0,2625.0,7711.0,0.533,1049661.0,0.5329999634871067,0.5329999634871067,0.0
2021.0,30.7,2392.0,7803.0,0.565,1470160.0,0.5650001189218635,0.5650001189218635,0.0
2022.0,28.1,2210.0,7871.0,0.549,1653295.0,0.5490001416798214,0.5490001416798214,0.0
2023.0,24.1,1917.0,7937.0,0.532,1930626.0,0.5320001681829774,0.5320001681829774,0.0
2024.0,19.6,1565.0,8002.0,0.523,2191517.0,0.5230001879206823,0.5230001879206823,0.0
