anio,F_norm,IPM_norm,Gini_norm,invIPC_norm
2012.0,0.2986458473568394,0.29861111111111094,0.07317073170731717,1.0
2013.0,0.09728233965281209,0.0972222222222221,0.10975609756097576,0.8420612274268238
2014.0,0.06948719654605057,0.0694444444444445,0.10975609756097576,0.7614079248472114
2015.0,0.10416913117730169,0.10416666666666674,0.03658536585365858,0.773791117046115
2016.0,0.11801959015337264,0.11805555555555546,0.024390243902439056,0.6823927502025299
2017.0,0.26380388855387366,0.26388888888888873,0.0,0.6961319512311072
2018.0,0.10411857944290522,0.10416666666666674,0.04878048780487811,0.5948770544582922
2019.0,0.12496173064907867,0.1249999999999999,0.1341463414634148,0.518293739478529
2020.0,1.0,1.0,0.6097560975609765,0.7338590140054202
2021.0,0.7709549621913452,0.7708333333333331,1.0,0.3310061053333041
2022.0,0.5903251569376397,0.5902777777777779,0.8048780487804889,0.21961472178771674
2023.0,0.3124900384341148,0.31250000000000006,0.597560975609757,0.09116146649296282
2024.0,0.0,0.0,0.48780487804878114,0.0
