anio,IPM,Gini,IPC,F,F_norm,F_minus_Gini,F_check,F_error_abs
2012.0,23.9,0.489,882841.0,0.4889998332165002,0.2986458473568394,-1.667834997887141e-07,0.4889998332165002,0.0
2013.0,21.0,0.492,974776.0,0.49199988558481356,0.09728233965281209,-1.1441518643628967e-07,0.49199988558481356,0.0
2014.0,20.6,0.492,1029524.0,0.4919999120727351,0.06948719654605057,-8.79272649134677e-08,0.4919999120727351,0.0
2015.0,21.1,0.486,1020722.0,0.4859999038316276,0.10416913117730169,-9.61683723765816e-08,0.4859999038316276,0.0
2016.0,21.3,0.485,1089471.0,0.4849999336384677,0.11801959015337264,-6.636153226935448e-08,0.4849999336384677,0.0
2017.0,23.4,0.483,1078551.0,0.48299992931363145,0.26380388855387366,-7.068636853624355e-08,0.48299992931363145,0.0
2018.0,21.1,0.487,1164577.0,0.4869999640898812,0.10411857944290522,-3.591011876746819e-08,0.4869999640898812,0.0
2019.0,21.4,0.494,1239342.0,0.4939999951086944,0.12496173064907867,-4.8913055827881635e-09,0.4939999951086944,0.0
2020.0,34.0,0.533,1049661.0,0.5329999634871067,1.0,-3.6512893375473254e-08,0.5329999634871067,0.0
2021.0,30.7,0.565,1470160.0,0.5650001189218635,0.7709549621913452,1.1892186357886914e-07,0.5650001189218635,0.0
2022.0,28.1,0.549,1653295.0,0.5490001416798214,0.5903251569376397,1.4167982131940704e-07,0.5490001416798214,0.0
2023.0,24.1,0.532,1930626.0,0.5320001681829774,0.3124900384341148,1.6818297732257292e-07,0.5320001681829774,0.0
2024.0,19.6,0.523,2191517.0,0.5230001879206823,0.0,1.879206822374968e-07,0.5230001879206823,0.0
