Anio,W_real,W_simulado,segmento
2012,99.18,99.18,historico
2013,99.36,99.4239314734147,historico
2014,99.44,99.36971439758649,historico
2015,99.52,99.43480069375268,historico
2016,99.41,99.42630449016201,historico
2017,99.55,99.55384564836311,historico
2018,99.19,99.28403876843299,historico
2019,99.27,99.26468372652526,historico
2020,99.24,99.22657637682642,historico
2021,99.4,99.38747580078646,historico
2022,99.27,99.32728366625284,historico
2023,99.28,99.18195472529408,historico
2024,99.29,99.35881424422163,historico
2025,,99.5110595739842,proyeccion
2026,,99.45118499772913,proyeccion
2027,,99.47473228740505,proyeccion
2028,,99.46547168155593,proyeccion
2029,,99.46911366421605,proyeccion
